KIND OF MEDICINE,Item Name,MRP,Landing Cost,Batch No,Expiry Date,Current Stock,COMPANY,Sales Person,Sale Qty,Sale Rate
mg,CELPLAT 50 MG,396.75,198.24,CSI2331BC,2025-11-01,0,CELON-ULTIMA,,,
mg,CELPLAT 50 MG,396.75,198.24,CSI2486BC,2026-10-01,0,CELON-ULTIMA,,,
mg,CELPLAT 50 MG,396.75,198.24,CSI2491BC,2026-10-01,0,CELON-ULTIMA,,,
mg,CELPLAT 50 MG,378.52,273.0,CSI2565B,2027-11-01,0,CELON-ULTIMA,,,
VIAL,CELTAX 100 MG,4029.4,436.8,OI0597,2025-08-01,0,CELON-ULTIMA,,,
pcs,CELTAX 300 MG,11507.34,630.0,PTI2516FA,2027-10-01,0,CELON-ULTIMA,,,
mg,DACILON 0.5 MG,347.0,157.5,ALA2301DA,2025-04-01,0,CELON-ULTIMA,,,
mg,DACILON 0.5 MG,347.0,157.5,ALA2303DA,2025-04-01,0,CELON-ULTIMA,,,
mg,DACILON 0.5 MG,347.0,157.5,ALA2312DA,2025-08-01,0,CELON-ULTIMA,,,
mg,DACILON 0.5 MG,347.0,157.5,DMI2413AC,2027-11-01,0,CELON-ULTIMA,,,
mg,DACILON 0.5 MG,353.5,157.5,DMI2601A,2028-12-01,410,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1212.66,157.5,DRI2513BCA,2027-10-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1212.66,159.6,DRI2507BCB,2027-05-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1212.66,159.6,DRI2508BC,2027-05-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1212.66,162.75,DRI2510BC,2027-06-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1293.5,173.6,DRI2508BC,2027-05-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1177.0,176.96,DRI2504BCB,2027-01-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1177.0,179.2,DRI2428BC,2026-11-01,0,CELON-ULTIMA,,,
mg,DOXILYD 50 MG,1177.0,184.8,DRI2503BC,2027-01-01,0,CELON-ULTIMA,,,
pcs,LIPPOD 20 MG,4070.0,1400.0,OI0778,2026-10-01,0,CELON-ULTIMA,,,
pcs,PHOXELON 1000 MG,137.5,45.15,23HCP10,2025-07-01,0,CELON-ULTIMA,,,
pcs,PHOXELON 500 MG,77.0,33.0,OL0541,2025-09-01,0,CELON-ULTIMA,,,
pcs,PHOXELON 500 MG,77.0,33.0,OL0550,2025-10-01,0,CELON-ULTIMA,,,
pcs,PHOXELON 500 MG,77.0,33.0,OLO742,2026-05-01,1,CELON-ULTIMA,,,
mg,TAMOXILON 20 MG,32.0,32.0,TCT2401BC,2026-02-01,0,CELON-ULTIMA,,,
pcs,PHOXELON-1000 MG,137.5,45.15,23FCP11,2025-05-01,0,CELON-ULTIMA.,,,
10X10,CENFORCE 100 MG,250.0,9.0,TC-1260344,2025-11-01,0,CENTURION REMEDIES PVT.LTD,,,
10X10,CENFORCE 100 MG,250.0,9.0,TC-1260344,2025-11-30,2420,CENTURION REMEDIES PVT.LTD,,,
10X10,CENFORCE 100 MG,250.0,9.0,TC-1260345,2025-11-01,0,CENTURION REMEDIES PVT.LTD,,,
10X10,VIDALISTA 20 MG,300.0,10.0,TV-620107,2025-05-01,0,CENTURION REMEDIES PVT.LTD,,,
10X10,VIDALISTA 20 MG,300.0,10.0,TV-620107,2025-05-31,4020,CENTURION REMEDIES PVT.LTD,,,
VIAL,NEUROVON 20ML,999.0,85.12,BB25003,2027-05-01,0,CHANDRA BHAGAT PHARMA,,,
AMPOULE,NITROVIR 25MG/5ML,35.28,13.44,BU25005,2027-07-01,0,CHANDRA BHAGAT PHARMA,,,
mg,SCOLAX 100MG,60.0,16.27,125047,2027-07-01,0,CHANDRA BHAGAT PHARMA,,,
mg,SCOLAX 100MG,60.0,16.8,125019,2027-03-01,0,CHANDRA BHAGAT PHARMA,,,
mg,SCOLAX 100MG,17.0,17.0,124037,2026-06-01,0,CHANDRA BHAGAT PHARMA,,,
mg,TRAMIC 500MG,71.5,9.03,VHI175007,2027-09-01,0,CHANDRA BHAGAT PHARMA,,,
pcs,COLISTIN-2MIU-(SUPERMAX),2399.0,80.0,COL2-16,2027-04-01,0,Chandra Bhagat Pharma Pvt Ltd,,,
pcs,COLISTIN-2MIU-(SUPERMAX),2399.0,89.6,COL2-15,2026-07-01,0,Chandra Bhagat Pharma Pvt Ltd,,,
1 VIAL,CUROSURF 3ML,20253.24,18600.0,1207405,2026-06-01,0,CHIESI FARMACEUTICI S.p.A,,,
1 VIAL,CUROSURF 3ML,20253.24,18600.0,1210671,2026-08-01,0,CHIESI FARMACEUTICI S.p.A,,,
pcs,8X SHAMPOO,490.52,380.64,L25M6003,2027-02-01,0,CIPLA,,,
pcs,ACIVIR IV,447.71,125.0,5S60017,2027-06-01,0,CIPLA,,,
pcs,ACIVIR IV,393.46,134.4,5S60022,2027-07-01,0,CIPLA,,,
pcs,AEROCORT INHALER,331.25,251.75,5SN0425,2027-01-01,0,CIPLA,,,
pcs,AEROCORT INHALER,331.25,251.75,5SN0481,2027-01-01,0,CIPLA,,,
pcs,AEROCORT INHALER,331.25,251.75,5SN0498,2027-01-01,0,CIPLA,,,
pcs,AEROCORT INHALER,331.25,251.75,5SN0774,2027-02-01,0,CIPLA,,,
pcs,AEROCORT INHALER,331.25,251.75,5SN0777,2027-02-01,0,CIPLA,,,
pcs,ASTHALIN INHALER,176.98,135.92,5GB0508,2027-01-01,0,CIPLA,,,
pcs,BOSENTAS 125 MG TAB,1809.19,991.07,BA31511,2025-04-01,0,CIPLA,,,
pcs,BOSENTAS 125 MG TAB,1541.93,1040.0,5BA1461,2027-05-01,0,CIPLA,,,
pcs,BOSENTAS 125 MG TAB,1696.12,1060.01,5BA1461,2027-05-01,0,CIPLA,,,
pcs,BOSENTAS 125 MG TAB,1809.19,1110.0,4BA2529,2026-10-01,0,CIPLA,,,
pcs,BOSENTAS 125 MG TAB,1809.19,1110.01,4BA2529,2026-10-01,0,CIPLA,,,
mg,BOSENTAS 62.5 MG TAB,1068.54,680.01,5BA1354,2027-05-01,0,CIPLA,,,
mg,BOSENTAS 62.5 MG TAB,1068.54,685.01,5BA1353,2027-05-01,0,CIPLA,,,
pcs,BUDECORT 200MG INHALER,434.7,330.37,5SN1122,2028-04-01,300,CIPLA,,,
pcs,BUDECORT 200MG INHALER,454.72,345.59,4SN2396,2027-11-01,0,CIPLA,,,
pcs,BUDECORT 200MG INHALER,454.72,345.59,4SN2397,2027-11-01,0,CIPLA,,,
pcs,BUDECORT RESPULE 1MG,29.43,21.02,0000,2026-11-01,0,CIPLA,,,
EYE DROPS,CIPLOX 0.3% EYE DROPS,17.24,13.24,4L81125,2027-08-01,0,CIPLA,,,
pcs,CIPMIDO 5MG,666.67,312.7,B0240258A,2026-08-29,0,CIPLA,,,
pcs,CIPMIDO 5MG,666.67,312.7,BO230069A,2025-07-01,0,CIPLA,,,
pcs,CYTODROX-CAP,127.55,42.0,4GJ0554,2026-09-01,0,CIPLA,,,
mg,DANOGEN 200 MG,646.36,491.24,25S2HCA029,2027-09-01,0,CIPLA,,,
mg,DESIROX 500MG,1812.66,1000.01,5BA0763,2027-03-01,0,CIPLA,,,
mg,DESIROX 500MG,1812.66,1000.01,5BA0764,2027-03-01,0,CIPLA,,,
pcs,DUOLIN 3 RESPULES,24.0,24.0,000,2026-11-01,0,CIPLA,,,
pcs,DUOLIN 3 RESPULES,124.7,95.77,4SN2253,2026-11-01,0,CIPLA,,,
pcs,DUOVIR TAB,1417.24,589.29,BA22694,2025-09-01,1,CIPLA,,,
pcs,DUOVIR TAB,1417.24,589.29,BA23345,2025-11-01,13,CIPLA,,,
mg,DYTOR 5MG TAB,78.9,60.6,5SN0135,2027-12-01,0,CIPLA,,,
pcs,EFAVIR 600 MG,2223.58,389.99,4BA1089,2027-05-01,0,CIPLA,,,
pcs,ENTAVIR-1MG,1219.57,599.04,BA31499,2025-06-01,0,CIPLA,,,
pcs,ENTAVIR-1MG,1219.63,599.04,4BA0554,2026-03-01,1,CIPLA,,,
pcs,ENTOFOAM 20.8GM,1149.08,805.0,O230013,2025-05-01,0,CIPLA,,,
pcs,FORACORT 400MG INHALER,460.98,350.34,5SN1182,2028-04-01,0,CIPLA,,,
pcs,FORACORT INHALE 200MG,404.54,307.45,5SN0831,2028-03-01,0,CIPLA,,,
pcs,FORACORT INHALE 200MG,404.54,307.45,5SN0951,2028-03-01,0,CIPLA,,,
pcs,IMATIB-100 MG TAB,548.08,142.0,IMB231018,2025-09-01,0,CIPLA,,,
pcs,IMATIB-400MG TAB,1787.36,430.0,IMA250306,2027-02-01,0,CIPLA,,,
pcs,IMATIB-400MG TAB,1906.52,460.0,IMA241231,2026-11-01,0,CIPLA,,,
mg,ISOTROIN 10MG CAP,345.82,194.01,S2520256,2028-02-01,0,CIPLA,,,
TAB,KETOCIP 200 MG,242.24,69.48,AD0225003,2027-02-01,0,CIPLA,,,
TAB,KETOCIP 200 MG,242.24,69.48,AD0225004,2027-02-01,0,CIPLA,,,
pcs,NEOSURF 5ML,11392.44,8199.98,25631A,2028-05-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1028.5,655.01,JNIAX1224,2026-10-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1060.64,660.0,JNIAX0225,2027-05-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1028.5,665.0,JNIAX1024,2026-10-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1028.5,665.0,JNIAX1124,2026-10-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1060.64,680.0,JNIAX0225,2027-05-01,0,CIPLA,,,
pcs,NINTIB 150 MG,964.22,732.8,JNIAX1224,2026-10-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1028.5,789.88,JNIAX0924,2026-10-01,0,CIPLA,,,
pcs,NINTIB 150 MG,1028.5,798.11,JNIAX0624,2026-07-01,0,CIPLA,,,
TABLET,NOR TZ TAB,42.0,22.4,BT5073,2027-10-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,619.06,1133MA009,2025-04-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,619.06,1134MA013,2026-04-30,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,619.06,1134MA017,2026-06-30,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,745.0,1134MA017,2026-06-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,745.0,1134MA030,2026-08-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,945.71,745.0,1134MA031,2026-08-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,771.75,1135MA006,2027-01-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,782.25,1135MA031,2027-06-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,782.25,1135MA036,2027-07-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1134MA043,2026-11-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1135MA006,2027-01-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1135MA009,2027-01-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1135MA021,2027-04-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1135MA026,2027-04-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,787.18,1135MA031,2027-06-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,800.0,1135MA011,2027-02-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,800.0,1135MA015,2027-02-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,800.0,1135MA021,2027-04-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,800.0,1135MA026,2027-04-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,800.0,1135MA036,2027-07-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,810.0,1135MA009,2027-01-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,819.0,1135MA036,2027-07-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,820.0,1135MA005,2026-12-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,825.0,1135MA009,2027-01-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,850.5,1135MA036,2027-07-01,0,CIPLA,,,
pcs,ONCO-BCG INJ,1040.28,861.0,1135MA051,2027-09-01,0,CIPLA,,,
pcs,OPSUTAN-10,2223.37,1360.0,DRE09213A,2026-08-01,0,CIPLA,,,
pcs,OPSUTAN-10,2223.57,1365.0,DRE09213A,2026-08-01,0,CIPLA,,,
TAB,OSTEOFOS 70 MG,322.42,250.19,5F10072,2028-04-01,0,CIPLA,,,
TAB,OSTEOFOS 70 MG,322.42,250.2,5F10037,2028-02-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN30766,2025-04-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31030,2025-04-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31360,2025-07-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31361,2025-07-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31362,2025-07-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31601,2025-08-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31837,2025-09-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,218.75,SN31839,2025-09-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,259.99,6SN0067,2027-12-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,260.0,4SN1177,2026-05-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,260.01,4SN0897,2026-04-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,260.01,4SN1178,2026-05-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,381.87,265.0,4SN0726,2026-02-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,265.0,4SN1012,2026-03-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,265.0,4SN1176,2026-05-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,265.0,4SN1177,2026-05-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,265.63,4SN1178,2026-05-01,0,CIPLA,,,
pcs,PIRFENEX 200MG TAB,420.05,277.0,4SN1179,2026-05-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,182.6,120.19,ATS01BVA,2027-04-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,177.07,135.99,4SA2004,2026-05-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,182.6,140.23,ATS01BVA,2027-04-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,182.6,140.23,ATS02BVA,2027-04-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,182.6,141.69,ATS01BVA,2027-04-01,0,CIPLA,,,
mg,RABICIP TABS 20 MG,194.77,149.58,ATS01BVA,2027-04-01,0,CIPLA,,,
pcs,TENVIR AF 25MG,1464.7,1464.62,AFT240919,2026-08-01,0,CIPLA,,,
pcs,TENVIR TAB,755.0,604.0,4GG0296,2027-06-01,0,CIPLA,,,
pcs,TENVIR-AF,1464.62,742.5,AFT230716,2025-06-01,0,CIPLA,,,
pcs,TENVIR-AF,1464.62,742.5,AFT230818,2025-07-01,0,CIPLA,,,
pcs,TENVIR-AF,1397.04,759.99,AFT250821,2027-07-01,19,CIPLA,,,
pcs,TENVIR-AF,1397.04,770.0,AFT250507,2027-04-01,0,CIPLA,,,
pcs,TENVIR-AF,1397.04,770.0,AFT250508,2027-04-01,0,CIPLA,,,
pcs,TENVIR-AF,1464.7,770.0,AFT250205,2027-01-01,0,CIPLA,,,
pcs,TENVIR-AF,1464.7,831.43,AFT241223,2026-11-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,767.86,4GG0291,2027-06-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,767.86,GG30453,2026-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,767.86,GG30529,2026-11-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,767.86,GG30530,2026-11-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,810.01,4GG0296,2027-06-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,810.01,4GG0403,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,810.01,4GG0408,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,810.01,4GG0409,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,824.25,5GG0113,2028-02-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,825.0,4GG0420,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.09,4GG0309,2027-06-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.09,4GG0310,2027-07-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.09,4GG0409,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.09,4GG0420,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.96,4GG0418,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,876.96,4GG0419,2027-09-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,877.12,4GG0308,2027-06-01,0,CIPLA,,,
pcs,TENVIR-TAB,1540.22,877.12,4GG0309,2027-06-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,470.4,4BA2144,2026-08-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,470.4,5BA0104,2026-11-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,470.4,5BA0105,2026-11-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,473.27,5BA0105,2026-11-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,473.27,5BA0106,2026-11-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,622.72,473.27,5BA0107,2026-11-01,0,CIPLA,,,
pcs,TIOVA INHALER 9MCG,633.92,481.78,5BA1297,2027-04-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1320.0,776.79,F330007,2025-05-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1237.5,909.99,5U70009,2027-01-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1237.5,920.0,5U70009,2027-01-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1320.0,950.01,5U70007,2026-12-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1320.0,960.01,4F30058,2026-09-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1320.0,964.99,4F30055,2026-09-01,0,CIPLA,,,
pcs,TOFAJAK 5MG TAB,1320.0,964.99,5U70008,2027-01-01,0,CIPLA,,,
pcs,VALGAN 450 MG,1501.11,568.0,VLA241113,2026-10-01,0,CIPLA,,,
pcs,VALGAN 450 MG,1501.11,570.0,VLA241114,2026-10-01,0,CIPLA,,,
pcs,VALGAN 450 MG,1501.11,1501.11,VLA231005,2025-09-30,0,CIPLA,,,
pcs,VALGAN 450 MG,1501.11,1501.11,VLA231106,2025-10-30,20,CIPLA,,,
pcs,VALGAN- 450 MG,1527.23,540.02,VLA250608,2027-05-01,0,CIPLA,,,
pcs,VALGAN- 450 MG,1527.23,540.02,VLA250710,2027-06-01,0,CIPLA,,,
pcs,VALGAN- 450 MG,1501.11,575.0,VLA241215,2026-11-01,0,CIPLA,,,
pcs,VALGAN- 450 MG,1501.03,610.84,VLA230903,2025-08-01,0,CIPLA,,,
pcs,VALGAN- 450 MG,1501.03,610.84,VLA231005,2025-09-01,0,CIPLA,,,
pcs,VALGAN- 450 MG,1501.03,610.84,VLA231106,2025-10-01,0,CIPLA,,,
pcs,VANLID 500INJ,339.32,126.0,HA250145A,2027-07-01,0,CIPLA,,,
pcs,VANLID 500INJ,333.52,133.99,AB250091A,2027-02-01,0,CIPLA,,,
pcs,VIRADAY,4719.0,980.0,5GG0289,2027-06-01,0,CIPLA,,,
pcs,VIRADAY,4719.0,1070.0,4GG0498,2026-10-01,0,CIPLA,,,
TABLET,VOMISTOP TAB,25.87,8.24,G25VSA003,2027-02-01,0,CIPLA,,,
mg,WARF 2MG TAB,91.39,69.46,5SB0082,2027-06-01,0,CIPLA,,,
mg,WARF 2MG TAB,91.39,69.46,5SB0167,2027-07-01,0,CIPLA,,,
mg,WARF 2MG TAB,91.39,70.19,5SB0167,2027-07-01,0,CIPLA,,,
pcs,XBIRA-250 MG,20109.37,8570.0,BO250167A,2028-03-01,0,CIPLA,,,
pcs,XBIRA-250 MG,21450.0,9184.0,4GJ0360,2026-04-01,0,CIPLA,,,
mg,XYLUTIDE- 40 MG CAP,1113.2,437.5,4GI0510,2025-08-01,0,CIPLA,,,
mg,XYLUTIDE- 40 MG CAP,1043.62,458.0,4GJ0698,2026-11-01,0,CIPLA,,,
mg,XYLUTIDE- 40 MG CAP,1043.62,458.0,4GJ0699,2026-11-01,0,CIPLA,,,
pcs,ACIVIR CREAM 10GM,177.15,136.06,5D133,2028-03-01,0,CIPLA LTD,,,
pcs,ACIVIR CREAM 10GM,177.15,136.06,5D149,2028-04-01,0,CIPLA LTD,,,
TABLET,ACIVIR DT 800 TAB,421.78,323.93,4SN1994,2027-09-01,0,CIPLA LTD,,,
TABLET,ACIVIR DT 800 TAB,421.78,323.93,4SN1995,2027-09-01,0,CIPLA LTD,,,
TABLET,AMLIP 5MG TAB,28.0,10.27,5C10259,2028-01-01,0,CIPLA LTD,,,
TABLET,AMLIP AT 5/50MG TAB,82.35,12.9,5C10370,2027-02-01,0,CIPLA LTD,,,
1,CAPNEA 1ML INJ,280.55,114.24,5R30002,2026-12-01,0,CIPLA LTD,,,
pcs,KETOCIP SOAP,129.2,36.14,S25QG131,2028-02-01,0,CIPLA LTD,,,
TABLET,LEVOFLOX 750MG TAB,70.95,53.92,5SD0317,2028-05-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,782.71,594.87,JNIBX0125,2026-12-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,782.71,607.38,JNIBX0125,2026-12-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,834.9,641.21,JNIBX0324,2026-07-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,834.9,641.21,JNIBX0624,2026-09-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,860.99,661.24,JNIBX0225,2027-08-01,0,CIPLA LTD,,,
CAPSULES,NINTIB 100MG CAP,860.99,661.24,JNIBX0325,2027-09-01,0,CIPLA LTD,,,
CREAM,OMNIGEL 75GM,279.5,150.09,D225021,2027-01-01,0,CIPLA LTD,,,
TABLET,ROSULIP F 10MG TAB,312.22,239.78,4BA3007,2026-11-01,0,CIPLA LTD,,,
TABLET,ROSULIP F 10MG TAB,343.43,263.75,5BA1953,2027-07-01,0,CIPLA LTD,,,
TABLET,ROSULIP F 10MG TAB,343.43,263.75,5BA2040,2027-08-01,0,CIPLA LTD,,,
TABLET,ROSULIP F 10MG TAB,343.43,266.5,2BA1454,2027-05-01,0,CIPLA LTD,,,
TABLET,ROSULIP F 10MG TAB,343.43,266.5,5BA1953,2027-07-01,0,CIPLA LTD,,,
TABLET,TACHYRA 200MG TAB,128.91,97.97,5BA0133,2026-12-01,0,CIPLA LTD,,,
CAPSULES,VENLOR -XR 150MG CAP,266.86,202.81,5KA2413,2028-07-01,0,CIPLA LTD,,,
CAPSULES,VENLOR -XR 75MG CAP,138.65,105.38,5KA0306,2027-12-01,0,CIPLA LTD,,,
CAPSULES,VENLOR -XR 75MG CAP,138.65,105.38,5KA1023,2028-02-01,0,CIPLA LTD,,,
TABLET,WARF 5MG TAB,80.64,61.29,4SB1053,2027-03-01,0,CIPLA LTD,,,
TABLET,WARF 5MG TAB,80.64,61.29,4SB1321,2027-05-01,0,CIPLA LTD,,,
mg,CAPEGARD 500 MG,854.03,357.32,5GJ0366,2027-06-01,0,CIPLA ONCOLOGY,,,
mg,CAPEGARD 500 MG,854.03,357.32,5GJ0613,2027-10-01,49,CIPLA ONCOLOGY,,,
mg,CAPEGARD 500 MG,910.97,381.14,5GJ0210,2027-01-01,0,CIPLA ONCOLOGY,,,
pcs,FEMPRO-2.5MG TAB,89.49,89.49,4GJ0141,2027-01-01,0,CIPLA ONCOLOGY,,,
pcs,FEMPRO-2.5MG TAB,89.49,89.49,4GJ0142,2027-01-01,10,CIPLA ONCOLOGY,,,
pcs,TEMOSIDE-250 MG,7156.41,2810.0,TMC241018,2026-09-01,0,CIPLA ONCOLOGY,,,
pcs,ENTAVIR-0.5 TAB,804.55,284.99,5BA1241,2027-04-01,170,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,285.0,5BA1120,2027-04-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,804.55,285.0,5BA1119,2027-04-01,1,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,292.38,4BA2559,2026-10-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,292.38,4BA2560,2026-10-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,292.38,BA31497,2025-05-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,292.38,BA31498,2025-05-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,312.9,4BA1907,2026-08-01,0,CIPLA-ARV,,,
pcs,ENTAVIR-0.5 TAB,790.79,312.9,4BA2860,2026-11-01,0,CIPLA-ARV,,,
pcs,ARMOTRAZ,760.94,132.0,ARM230503,2025-04-01,0,CIPLA.,,,
pcs,ARMOTRAZ,760.94,132.0,ARM230604,2025-05-01,0,CIPLA.,,,
pcs,ARMOTRAZ,760.94,169.99,ARM250302,2027-02-01,0,CIPLA.,,,
pcs,CALUTIDE 50 MG TAB,484.96,311.76,CLU230609,2025-05-01,0,CIPLA.,,,
TABLET,CELLMUNE 500,630.04,180.6,M250177,2027-01-01,0,CIPLA.,,,
pcs,DASATRUE 70 MG,9350.0,2000.0,PO230065A,2025-04-01,0,CIPLA.,,,
pcs,DAUNOTEC 20 MG INJ,317.88,198.0,4E60012,2026-10-01,0,CIPLA.,,,
pcs,DAUNOTEC 20 MG INJ,317.88,198.0,4E60051,2027-02-01,3,CIPLA.,,,
pcs,DAUNOTEC 20 MG INJ,317.88,198.0,E620200,2025-04-01,0,CIPLA.,,,
pcs,DAUNOTEC 20 MG INJ,317.88,198.0,E630028,2025-07-01,0,CIPLA.,,,
pcs,DAUNOTEC 20 MG INJ,317.88,233.1,4E60056,2027-03-01,0,CIPLA.,,,
pcs,DENOCI INJ 120MG,31350.0,15000.0,DMV1B23006,2025-05-01,0,CIPLA.,,,
pcs,DENOCI INJ 120MG,31350.0,15000.0,DMV1B23009,2025-07-01,0,CIPLA.,,,
pcs,DENOCI INJ 120MG,32329.68,15750.0,DMV1B25004,2027-05-01,2,CIPLA.,,,
pcs,DENOCI INJ 120MG,31350.0,16800.0,DMV1B25001,2026-12-01,0,CIPLA.,,,
